DEBUG 2021-10-19 10:25:03,537 1939493ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:25:07,887 1943843ms RecurringJobScheduler  CallSite.Target    - Recurring job 'EnvioRegistroEMPLOYER' is being updated. RecurringJob: (Job:{"Type":"MonitorJobs.Negocio.EnviarRegistroPonto, MonitorJobs, Version=2.68.1984.1, Culture=neutral, PublicKeyToken=null","Method":"EnviarRegistroPontoCS","ParameterTypes":"[\"System.String, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089\"]","Arguments":"[\"\\\"PONTOFOPAG_EMPLOYER\\\"\"]"};Cron:*/1 * * * *;TimeZoneId:UTC;Queue:pequeno;CreatedAt:2019-04-25T15:49:25.0485350Z;LastExecution:2021-10-19T13:24:14.6256969Z;LastJobId:504722;NextExecution:2021-10-19T13:25:00.0000000Z;V:2;RetryAttempt:0;Error:), Changes: (LastExecution:2021-10-19T13:25:05.7067586Z;NextExecution:2021-10-19T13:26:00.0000000Z;LastJobId:504723), NextExecution: (19/10/2021 13:26:00)
DEBUG 2021-10-19 10:25:08,596 1944553ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:25:08,596 1944553ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:25:10,008 1945965ms RecurringJobScheduler  CallSite.Target    - 1 recurring job(s) processed by scheduler.
DEBUG 2021-10-19 10:25:13,646 1949603ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:25:13,646 1949603ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:25:18,709 1954666ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:25:18,709 1954666ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:25:23,740 1959696ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:25:23,740 1959696ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:25:28,772 1964729ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:25:28,773 1964729ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:25:33,555 1969512ms ServerHeartbeatProcess CallSite.Target    - Server desktop-c6rc2dp:18436:e22dba81 heartbeat successfully sent
DEBUG 2021-10-19 10:25:33,556 1969512ms ServerHeartbeatProcess CallSite.Target    - Server desktop-c6rc2dp:18436:e22dba81 waiting for 00:00:30 delay before sending a heartbeat
DEBUG 2021-10-19 10:25:33,832 1969789ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:25:33,833 1969789ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:25:38,889 1974845ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:25:38,890 1974846ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:25:43,946 1979903ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:25:43,946 1979903ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:25:49,003 1984959ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:25:49,003 1984959ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:25:54,044 1990000ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:25:54,044 1990000ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:25:59,102 1995058ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:25:59,102 1995058ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:26:04,001 1999957ms ServerHeartbeatProcess CallSite.Target    - Server desktop-c6rc2dp:18436:e22dba81 heartbeat successfully sent
DEBUG 2021-10-19 10:26:04,001 1999957ms ServerHeartbeatProcess CallSite.Target    - Server desktop-c6rc2dp:18436:e22dba81 waiting for 00:00:30 delay before sending a heartbeat
DEBUG 2021-10-19 10:26:04,154 2000111ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:26:04,154 2000111ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:26:09,209 2005166ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:26:09,209 2005166ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:26:14,257 2010213ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:26:14,258 2010214ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:26:14,598 2010554ms RecurringJobScheduler  CallSite.Target    - Recurring job 'EnvioRegistroEMPLOYER' is being updated. RecurringJob: (Job:{"Type":"MonitorJobs.Negocio.EnviarRegistroPonto, MonitorJobs, Version=2.68.1984.1, Culture=neutral, PublicKeyToken=null","Method":"EnviarRegistroPontoCS","ParameterTypes":"[\"System.String, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089\"]","Arguments":"[\"\\\"PONTOFOPAG_EMPLOYER\\\"\"]"};Cron:*/1 * * * *;TimeZoneId:UTC;Queue:pequeno;CreatedAt:2019-04-25T15:49:25.0485350Z;LastExecution:2021-10-19T13:25:05.7067586Z;LastJobId:504723;NextExecution:2021-10-19T13:26:00.0000000Z;V:2;RetryAttempt:0;Error:), Changes: (LastExecution:2021-10-19T13:26:12.4731907Z;NextExecution:2021-10-19T13:27:00.0000000Z;LastJobId:504724), NextExecution: (19/10/2021 13:27:00)
DEBUG 2021-10-19 10:26:17,133 2013089ms RecurringJobScheduler  CallSite.Target    - 1 recurring job(s) processed by scheduler.
DEBUG 2021-10-19 10:26:19,307 2015263ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:26:19,307 2015263ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:26:24,346 2020303ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:26:24,346 2020303ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:26:29,404 2025360ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:26:29,404 2025360ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:26:34,291 2030247ms ServerHeartbeatProcess CallSite.Target    - Server desktop-c6rc2dp:18436:e22dba81 heartbeat successfully sent
DEBUG 2021-10-19 10:26:34,291 2030247ms ServerHeartbeatProcess CallSite.Target    - Server desktop-c6rc2dp:18436:e22dba81 waiting for 00:00:30 delay before sending a heartbeat
DEBUG 2021-10-19 10:26:34,459 2030415ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:26:34,459 2030416ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:26:39,521 2035478ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:26:39,522 2035478ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:26:44,569 2040526ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:26:44,570 2040526ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:26:49,616 2045572ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:26:49,617 2045573ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:26:54,675 2050632ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:26:54,676 2050632ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:26:59,736 2055692ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:26:59,736 2055692ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:27:04,479 2060435ms ServerHeartbeatProcess CallSite.Target    - Server desktop-c6rc2dp:18436:e22dba81 heartbeat successfully sent
DEBUG 2021-10-19 10:27:04,479 2060435ms ServerHeartbeatProcess CallSite.Target    - Server desktop-c6rc2dp:18436:e22dba81 waiting for 00:00:30 delay before sending a heartbeat
DEBUG 2021-10-19 10:27:04,772 2060728ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:27:04,772 2060728ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:27:06,272 2062228ms RecurringJobScheduler  CallSite.Target    - Recurring job 'EnvioRegistroEMPLOYER' is being updated. RecurringJob: (Job:{"Type":"MonitorJobs.Negocio.EnviarRegistroPonto, MonitorJobs, Version=2.68.1984.1, Culture=neutral, PublicKeyToken=null","Method":"EnviarRegistroPontoCS","ParameterTypes":"[\"System.String, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089\"]","Arguments":"[\"\\\"PONTOFOPAG_EMPLOYER\\\"\"]"};Cron:*/1 * * * *;TimeZoneId:UTC;Queue:pequeno;CreatedAt:2019-04-25T15:49:25.0485350Z;LastExecution:2021-10-19T13:26:12.4731907Z;LastJobId:504724;NextExecution:2021-10-19T13:27:00.0000000Z;V:2;RetryAttempt:0;Error:), Changes: (LastExecution:2021-10-19T13:27:04.0640471Z;NextExecution:2021-10-19T13:28:00.0000000Z;LastJobId:504725), NextExecution: (19/10/2021 13:28:00)
DEBUG 2021-10-19 10:27:08,419 2064375ms RecurringJobScheduler  CallSite.Target    - 1 recurring job(s) processed by scheduler.
DEBUG 2021-10-19 10:27:09,823 2065779ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:27:09,823 2065779ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:27:14,865 2070822ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:27:14,866 2070822ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:27:19,906 2075862ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:27:19,906 2075863ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:27:24,949 2080906ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:27:24,949 2080906ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:27:30,008 2085965ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:27:30,008 2085965ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:27:34,761 2090718ms ServerHeartbeatProcess CallSite.Target    - Server desktop-c6rc2dp:18436:e22dba81 heartbeat successfully sent
DEBUG 2021-10-19 10:27:34,762 2090718ms ServerHeartbeatProcess CallSite.Target    - Server desktop-c6rc2dp:18436:e22dba81 waiting for 00:00:30 delay before sending a heartbeat
DEBUG 2021-10-19 10:27:35,067 2091024ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
DEBUG 2021-10-19 10:27:35,068 2091024ms JobCancellationWatcher CallSite.Target    - No newly aborted jobs found.
DEBUG 2021-10-19 10:27:40,112 2096068ms JobCancellationWatcher CallSite.Target    - Checking for aborted jobs...
